date,cases,deaths,pos_log,death_log,pos_diff,death_diff,pos_diff_diff,pos_log_diff,box_cox,death_diff_diff
2020-07-13,3379846,135402,15.033340704291039,11.816003410399965,61567,425,3762,0.01838387129433272,5318.701532920536,30
2020-07-14,3445448,136356,15.052564497516332,11.82302439170601,65602,954,4035,0.01922379322529366,5373.005643496066,529
2020-07-15,3513790,137327,15.072205784987247,11.830120222095301,68342,971,2740,0.019641287470914648,5429.061585613689,17
2020-07-16,3589477,138285,15.093517067400489,11.837072051900805,75687,958,7345,0.021311282413241983,5490.5451563574225,-13
2020-07-17,3660400,139186,15.11308298902336,11.843566447111836,70923,901,-4764,0.01956592162287052,5547.606008112523,-57
2020-07-18,3722851,139961,15.130000330565926,11.849119091354643,62451,775,-8472,0.016917341542566078,5597.420346687408,-126
2020-07-19,3785126,140373,15.146589733599477,11.852058444388044,62275,412,-176,0.016589403033551164,5646.703255308512,-363
2020-07-20,3845014,140904,15.16228780200758,11.855834086412132,59888,531,-2387,0.015698068408102728,5693.737607485205,119
2020-07-21,3910291,142031,15.179122353744608,11.863800622616424,65277,1127,5389,0.016834551737028747,5744.61236285811,596
2020-07-22,3980030,143167,15.196799914920655,11.871767060024334,69739,1136,4462,0.017677561176046908,5798.52393183606,9
2020-07-23,4050036,144283,15.214236327932104,11.879531927703995,70006,1116,267,0.017436413011449048,5852.195521857954,-20
2020-07-24,4123561,145429,15.232227668404283,11.887443273987763,73525,1146,3519,0.017991340472178763,5908.095889211803,30
2020-07-25,4190337,146313,15.248291718258306,11.893503441570443,66776,884,-6749,0.01606404985402321,5958.458955236639,-262
2020-07-26,4244554,146753,15.261147307425798,11.896506180411542,54217,440,-12559,0.012855589167491743,5999.072028100051,-444
2020-07-27,4303735,148449,15.274993808296237,11.907996743894378,59181,1696,4964,0.013846500870439371,6043.12517007702,1256
2020-07-28,4366851,149776,15.289552712352753,11.916896123611526,63116,1327,3935,0.014558904056515942,6089.79367288413,-369
2020-07-29,4433633,151172,15.304729896224464,11.92617354039349,66782,1396,3666,0.015177183871710298,6138.827674705933,69
2020-07-30,4502581,152433,15.320161345875983,11.934480434227341,68948,1261,2166,0.015431449651519102,6189.087833895515,-135
2020-07-31,4571669,153862,15.335388904075685,11.943811375758546,69088,1429,140,0.015227558199702784,6239.08715406418,168
2020-08-01,4628497,154917,15.347742751331042,11.950644768607726,56828,1055,-12260,0.012353847255356598,6279.9472491141505,-374
2020-08-02,4679291,155337,15.358657160690697,11.95335222931129,50794,420,-6034,0.010914409359655153,6316.2689510965565,-635
2020-08-03,4726775,155945,15.368753709742574,11.957258659963776,47484,608,-3310,0.010096549051876735,6350.055892495958,188
2020-08-04,4780324,157301,15.380018884597293,11.965916446305247,53549,1356,6065,0.011265174854719007,6387.966807819653,748
2020-08-05,4834047,158554,15.391194562995155,11.973850508282757,53723,1253,174,0.011175678397862043,6425.800113351425,-103
2020-08-06,4891561,159625,15.40302203341415,11.98058259333484,57514,1071,3791,0.011827470418994679,6466.083957335066,-182
2020-08-07,4952718,160981,15.415447074758712,11.989041624580226,61157,1356,3643,0.012425041344561905,6508.675054238979,285
2020-08-08,5007958,161947,15.426538805145434,11.995024400192024,55240,966,-5917,0.011091730386722176,6546.932644417454,-390
2020-08-09,5056438,162486,15.436172840803525,11.99834712319432,48480,539,-6760,0.009634035658091733,6580.344742208374,-427
2020-08-10,5103611,163023,15.44545888636873,12.001646574129103,47173,537,-1307,0.009286045565204404,6612.711298329482,-2
2020-08-11,5156968,164474,15.455859367855806,12.010507781984355,53357,1451,6184,0.010400481487076618,6649.151214804205,914
2020-08-12,5211246,165952,15.466329540606688,12.019453868898337,54278,1478,921,0.010470172750881801,6686.038079463305,27
2020-08-13,5265307,167165,15.476650011441917,12.026736627576586,54061,1213,-217,0.01032047083522869,6722.5977415194,-265
2020-08-14,5324784,168341,15.487882705356766,12.03374696310672,59477,1176,5416,0.011232693914848824,6762.616068912848,-37
2020-08-15,5375527,169400,15.497367173683383,12.04001806120009,50743,1059,-8734,0.00948446832661709,6796.591436930125,-117
2020-08-16,5417664,169914,15.505175284200261,12.04304770567781,42137,514,-8606,0.007808110516878131,6824.689767842419,-545
2020-08-17,5455187,170449,15.512077457138373,12.046191410725724,37523,535,-4614,0.006902172938112017,6849.6246705273015,21
2020-08-18,5498420,171798,15.519971336204712,12.054074647020991,43233,1349,5710,0.007893879066338982,6878.253893375738,814
2020-08-19,5541433,173093,15.527763689535563,12.06158430129405,43013,1295,-220,0.007792353330851043,6906.632234310507,-54
2020-08-20,5587462,174136,15.53603571698598,12.067591882094673,46029,1043,3016,0.008272027450416886,6936.885553507475,-252
2020-08-21,5636491,175297,15.544772266729886,12.074236957243208,49029,1161,3000,0.008736549743906252,6968.981635338339,118
2020-08-22,5681517,176247,15.552728832503286,12.079641699253056,45026,950,-4003,0.00795656577339976,6998.341390747852,-211
2020-08-23,5713850,176693,15.558403610115718,12.082169042356137,32333,446,-12693,0.00567477761243218,7019.356857663083,-504
2020-08-24,5754254,177197,15.565449965324074,12.08501738698723,40404,504,8071,0.007046355208355948,7045.539531133389,58
